features,Nearest Neighbors,Linear SVM,RBF SVM,Decision Tree,Random Forest,AdaBoost,LogisticRegression
"(0,)",0.72727272727272718,0.72727272727272718,0.72727272727272718,0.72727272727272718,0.72727272727272718,0.72727272727272718,0.72727272727272718
"(1,)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(2,)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(3,)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(4,)",0.66666666666666663,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.66666666666666663
"(6,)",0.5,0.0,0.0,0.0,0.0,0.0,0.0
"(7,)",0.44444444444444442,0.44444444444444442,0.44444444444444442,0.44444444444444442,0.44444444444444442,0.44444444444444442,0.44444444444444442
"(8,)",0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998
"(0, 1)",0.66666666666666663,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.66666666666666663
"(0, 2)",0.66666666666666663,1.0,1.0,0.66666666666666663,1.0,0.66666666666666663,0.66666666666666663
"(0, 3)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 4)",0.66666666666666663,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.66666666666666663
"(0, 6)",0.66666666666666663,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.5,0.66666666666666663
"(0, 7)",0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.5
"(0, 8)",0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998
"(1, 2)",0.90909090909090906,1.0,1.0,0.90909090909090906,1.0,0.90909090909090906,0.90909090909090906
"(1, 3)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(1, 4)",0.80000000000000004,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.80000000000000004
"(1, 6)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(1, 7)",0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906
"(1, 8)",0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906
"(2, 3)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(2, 4)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(2, 6)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(2, 7)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(2, 8)",0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302
"(3, 4)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(3, 6)",0.80000000000000004,1.0,1.0,1.0,1.0,1.0,1.0
"(3, 7)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(3, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(4, 6)",0.66666666666666663,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.66666666666666663
"(4, 7)",0.80000000000000004,0.83333333333333337,0.83333333333333337,0.83333333333333337,0.83333333333333337,0.83333333333333337,0.80000000000000004
"(4, 8)",0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906
"(6, 7)",0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998
"(6, 8)",0.4705882352941177,0.63157894736842102,0.63157894736842102,0.5,0.5,0.63157894736842102,0.4705882352941177
"(7, 8)",0.72727272727272718,0.72727272727272718,0.72727272727272718,0.72727272727272718,0.72727272727272718,0.72727272727272718,0.72727272727272718
"(0, 1, 2)",0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906
"(0, 1, 3)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 1, 4)",0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.66666666666666663
"(0, 1, 6)",0.80000000000000004,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302
"(0, 1, 7)",0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
"(0, 1, 8)",0.92307692307692302,0.5,0.5,0.90909090909090906,0.92307692307692302,0.92307692307692302,0.5
"(0, 2, 3)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 2, 4)",0.80000000000000004,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.80000000000000004
"(0, 2, 6)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 2, 7)",1.0,1.0,1.0,1.0,1.0,0.92307692307692302,1.0
"(0, 2, 8)",0.8571428571428571,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302
"(0, 3, 4)",0.90909090909090906,1.0,1.0,1.0,1.0,1.0,0.90909090909090906
"(0, 3, 6)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 3, 7)",0.90909090909090906,1.0,1.0,1.0,0.90909090909090906,1.0,0.90909090909090906
"(0, 3, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 4, 6)",0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
"(0, 4, 7)",0.80000000000000004,0.8571428571428571,0.8571428571428571,0.92307692307692302,0.8571428571428571,0.8571428571428571,0.80000000000000004
"(0, 4, 8)",0.83333333333333337,0.72727272727272718,0.72727272727272718,0.72727272727272718,0.83333333333333337,0.83333333333333337,0.83333333333333337
"(0, 6, 7)",0.59999999999999998,0.83333333333333337,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.59999999999999998
"(0, 6, 8)",0.66666666666666663,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.66666666666666663
"(0, 7, 8)",0.0,0.0,0.83333333333333337,0.83333333333333337,0.83333333333333337,0.83333333333333337,0.0
"(1, 2, 3)",1.0,0.92307692307692302,0.92307692307692302,1.0,1.0,1.0,1.0
"(1, 2, 4)",0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906
"(1, 2, 6)",1.0,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
"(1, 2, 7)",0.90909090909090906,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.90909090909090906
"(1, 2, 8)",0.92307692307692302,0.80000000000000004,0.92307692307692302,0.80000000000000004,0.80000000000000004,0.92307692307692302,0.80000000000000004
"(1, 3, 4)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(1, 3, 6)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(1, 3, 7)",0.80000000000000004,1.0,1.0,0.80000000000000004,1.0,0.80000000000000004,0.80000000000000004
"(1, 3, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(1, 4, 6)",0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
"(1, 4, 7)",0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
"(1, 4, 8)",0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906
"(1, 6, 7)",0.5,1.0,1.0,1.0,1.0,1.0,1.0
"(1, 6, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(1, 7, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(2, 3, 4)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(2, 3, 6)",1.0,1.0,0.92307692307692302,0.92307692307692302,1.0,0.92307692307692302,1.0
"(2, 3, 7)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(2, 3, 8)",0.92307692307692302,1.0,0.92307692307692302,0.92307692307692302,0.92307692307692302,1.0,1.0
"(2, 4, 6)",1.0,0.66666666666666663,1.0,0.66666666666666663,0.66666666666666663,1.0,0.66666666666666663
"(2, 4, 7)",1.0,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,1.0
"(2, 4, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(2, 6, 7)",1.0,1.0,1.0,0.80000000000000004,0.80000000000000004,1.0,1.0
"(2, 6, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(2, 7, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(3, 4, 6)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(3, 4, 7)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(3, 4, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(3, 6, 7)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(3, 6, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(3, 7, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(4, 6, 7)",0.59999999999999998,0.83333333333333337,0.83333333333333337,0.83333333333333337,0.83333333333333337,0.83333333333333337,0.59999999999999998
"(4, 6, 8)",0.66666666666666663,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.66666666666666663
"(4, 7, 8)",1.0,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,1.0,0.80000000000000004
"(6, 7, 8)",0.44444444444444442,0.72727272727272718,0.72727272727272718,0.72727272727272718,0.72727272727272718,0.72727272727272718,0.44444444444444442
"(0, 1, 2, 3)",0.90909090909090906,1.0,1.0,0.92307692307692302,1.0,1.0,0.90909090909090906
"(0, 1, 2, 4)",0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906
"(0, 1, 2, 6)",1.0,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302
"(0, 1, 2, 7)",1.0,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,1.0
"(0, 1, 2, 8)",1.0,1.0,0.90909090909090906,0.90909090909090906,1.0,0.92307692307692302,1.0
"(0, 1, 3, 4)",0.66666666666666663,0.90909090909090906,1.0,1.0,0.90909090909090906,1.0,0.66666666666666663
"(0, 1, 3, 6)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 1, 3, 7)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 1, 3, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 1, 4, 6)",0.90909090909090906,0.90909090909090906,0.83333333333333337,0.83333333333333337,0.83333333333333337,0.90909090909090906,0.80000000000000004
"(0, 1, 4, 7)",0.80000000000000004,1.0,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.92307692307692302,0.90909090909090906
"(0, 1, 4, 8)",0.90909090909090906,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
"(0, 1, 6, 7)",0.5,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906,0.90909090909090906
"(0, 1, 6, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 1, 7, 8)",1.0,1.0,0.66666666666666663,0.66666666666666663,1.0,1.0,1.0
"(0, 2, 3, 4)",0.80000000000000004,1.0,0.92307692307692302,0.92307692307692302,1.0,0.92307692307692302,1.0
"(0, 2, 3, 6)",1.0,0.92307692307692302,0.92307692307692302,1.0,0.92307692307692302,1.0,1.0
"(0, 2, 3, 7)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 2, 3, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 2, 4, 6)",0.80000000000000004,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302
"(0, 2, 4, 7)",0.90909090909090906,0.90909090909090906,0.83333333333333337,0.90909090909090906,0.90909090909090906,0.83333333333333337,0.90909090909090906
"(0, 2, 4, 8)",0.80000000000000004,0.80000000000000004,1.0,0.80000000000000004,1.0,1.0,0.80000000000000004
"(0, 2, 6, 7)",0.90909090909090906,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.90909090909090906
"(0, 2, 6, 8)",0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302
"(0, 2, 7, 8)",0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.92307692307692302,0.90909090909090906
"(0, 3, 4, 6)",0.80000000000000004,1.0,1.0,1.0,1.0,1.0,0.80000000000000004
"(0, 3, 4, 7)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 3, 4, 8)",0.90909090909090906,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 3, 6, 7)",0.90909090909090906,1.0,1.0,1.0,1.0,1.0,0.90909090909090906
"(0, 3, 6, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
